logg,Teff,Z,u,Filt,Met,Mod
4,7500,-5,0.3936,R,F,A
4.5,7500,-5,0.3922,R,F,A
5,7500,-5,0.3918,R,F,A
1.5,7750,-5,0.4453,R,F,A
2,7750,-5,0.4447,R,F,A
2.5,7750,-5,0.4471,R,F,A
3,7750,-5,0.4517,R,F,A
3.5,7750,-5,0.456,R,F,A
4,7750,-5,0.4567,R,F,A
4.5,7750,-5,0.382,R,F,A
5,7750,-5,0.3826,R,F,A
1.5,8000,-5,0.4293,R,F,A
2,8000,-5,0.4264,R,F,A
2.5,8000,-5,0.4277,R,F,A
3,8000,-5,0.4316,R,F,A
3.5,8000,-5,0.4375,R,F,A
4,8000,-5,0.4414,R,F,A
4.5,8000,-5,0.4419,R,F,A
5,8000,-5,0.3719,R,F,A
2,8250,-5,0.4103,R,F,A
2.5,8250,-5,0.4101,R,F,A
3,8250,-5,0.4131,R,F,A
3.5,8250,-5,0.418,R,F,A
4,8250,-5,0.4245,R,F,A
4.5,8250,-5,0.4276,R,F,A
5,8250,-5,0.3652,R,F,A
1.5,8500,-5,0.4062,R,F,A
2,8500,-5,0.397,R,F,A
2.5,8500,-5,0.3947,R,F,A
3,8500,-5,0.3966,R,F,A
3.5,8500,-5,0.4007,R,F,A
4,8500,-5,0.4062,R,F,A
4.5,8500,-5,0.4124,R,F,A
5,8500,-5,0.4131,R,F,A
2,8750,-5,0.3865,R,F,A
2.5,8750,-5,0.3816,R,F,A
3,8750,-5,0.3819,R,F,A
3.5,8750,-5,0.3851,R,F,A
4,8750,-5,0.3896,R,F,A
4.5,8750,-5,0.3951,R,F,A
5,8750,-5,0.3996,R,F,A
1.5,9000,-5,0.3951,R,F,A
2,9000,-5,0.3786,R,F,A
2.5,9000,-5,0.3714,R,F,A
3,9000,-5,0.3697,R,F,A
3.5,9000,-5,0.3714,R,F,A
4,9000,-5,0.3754,R,F,A
4.5,9000,-5,0.3806,R,F,A
5,9000,-5,0.3855,R,F,A
2,9250,-5,0.3725,R,F,A
2.5,9250,-5,0.3632,R,F,A
3,9250,-5,0.3601,R,F,A
3.5,9250,-5,0.3604,R,F,A
4,9250,-5,0.3628,R,F,A
4.5,9250,-5,0.367,R,F,A
5,9250,-5,0.3715,R,F,A
2,9500,-5,0.3677,R,F,A
2.5,9500,-5,0.3566,R,F,A
3,9500,-5,0.3518,R,F,A
3.5,9500,-5,0.351,R,F,A
4,9500,-5,0.3523,R,F,A
4.5,9500,-5,0.3553,R,F,A
5,9500,-5,0.3593,R,F,A
2,9750,-5,0.3635,R,F,A
2.5,9750,-5,0.3509,R,F,A
3,9750,-5,0.3449,R,F,A
3.5,9750,-5,0.343,R,F,A
4,9750,-5,0.3434,R,F,A
4.5,9750,-5,0.3452,R,F,A
5,9750,-5,0.3483,R,F,A
2,10000,-5,0.3599,R,F,A
2.5,10000,-5,0.346,R,F,A
3,10000,-5,0.339,R,F,A
3.5,10000,-5,0.3363,R,F,A
4,10000,-5,0.3358,R,F,A
4.5,10000,-5,0.3369,R,F,A
5,10000,-5,0.3391,R,F,A
2,10500,-5,0.3539,R,F,A
2.5,10500,-5,0.3376,R,F,A
3,10500,-5,0.3293,R,F,A
3.5,10500,-5,0.3251,R,F,A
4,10500,-5,0.3237,R,F,A
4.5,10500,-5,0.3234,R,F,A
