Filter,Magnitude,Error
Gaia G,,
Gaia Gbp,,
Gaia Grp,,
2MASS K,,
2MASS J,,
2MASS H,,
Tycho Vt,,
Tycho Bt,,
Hipparcos Hp,,
Cousins U,,
Cousins V,,
Cousins B,,
Cousins R,,
Cousins I,,
Johnson U,,
Johnson B,,
Johnson V,,
Johnson R,,
Johnson I,,
Johnson J,,
Johnson K,,
Johnson H,,
Stromgren v,,
Stromgren b,,
Stromgren y,,
TESS T,,
Galex FUV,,
Galex NUV,,
PANSTARRS g,,
PANSTARRS r,,
PANSTARRS i,,
PANSTARRS z,,
PANSTARRS y,,
SDSS u,,
SDSS g,,
SDSS r,,
SDSS i,,
SDSS z,,
WISE W1,,
WISE W2,,
WISE W3,,
WISE W4,,
XMM v,,
XMM b,,
XMM u,,
XMM w1,,
XMM w2,,
XMM m2,,
Spitzer IRAC 3.6,,
Spitzer IRAC 4.5,,
Spitzer IRAC 5.8,,
Spitzer IRAC 8.0,,
Spitzer MIPS 24,,
